Screen Name,Tweets,Timeframe,Links
@narendramodi,"In the middle of a spirited fight against the COVID-19 global pandemic, people of India are working to build an #AatmaNirbharBharat. 

I have faith in the strength, skills and talents of my fellow Indians. 

Our determination is such that we will surely succeed.  ",2020-08-15 06:12:19,https://t.co/hCOqwMer33
@WHO,"""Hardship is always an opportunity to learn, to grow and to change.

#COVID19 is a once-in-a-century health crisis. But it also gives us a once-in-a-century opportunity to shape the world our children will inherit""-@DrTedros 

 ",2020-08-21 15:41:16,https://t.co/PBuejrb7B4
@WHO,"""Great cities such as Paris, #France have committed to becoming “15 minute cities”, where every service can be easily reached by foot or bike, reducing #airpollution and #climatechange""-@DrTedros #COVID1 ",2020-08-21 15:39:31,9
@WHO,"""#Portugal has announced it will become coal-free by next year.

#Chile has committed to reducing #airpollution and black carbon""-@DrTedros #COVID1 ",2020-08-21 15:38:51,9
@WHO,"""In the #UnitedKingdom, the use of coal, the most polluting form of energy, fell to its lowest level in 250 years.

#Spain is becoming one of the world's fastest decarbonizing nations, with 7 of the country’s 15 coal-fired power stations recently closed""-@DrTedros #COVID1 ",2020-08-21 15:38:27,9
@WHO,"""Nairobi, #Kenya is improving parks, adding urban forests, building more sidewalks &amp; improving drainage.

#Pakistan has set up a “green stimulus” scheme, offering labourers who are out of work as a result of lockdown a chance to earn money by planting trees""-@DrTedros #COVID1 ",2020-08-21 15:37:56,9
@WHO,"""Since then, over 40 million health profe  ional  from 90 countrie , have  ent a letter to @g20org leader , to call for a Healthy Recovery from #COVID19.

And we have  een many example  of countrie  acting to protect live , livelihood  &amp; the planet on which they depend""-@DrTedro ",2020-08-21 15:37:25,s
@WHO,"""In July we added “actionables” for each of these policy prescriptions, providing 81 concrete steps for policy-makers to build a healthier, fairer, greener world""-@DrTedros #COVID19 

 ",2020-08-21 15:36:42,https://t.co/VWErykRxAr
@WHO,"""In May, WHO published our “Manifesto for a Healthy and Green Recovery”, with six policy prescriptions for protecting nature""-@DrTedros #COVID19 

 ",2020-08-21 15:35:57,https://t.co/19aDj7fyn6
@WHO,"""The #COVID19 pandemic ha  given u  a glimp e of our world a  it could be: cleaner  kie  and river . 

Building back better mean  building back greener""-@DrTedro ",2020-08-21 15:31:32,s
